"barcode","sample"
"HD-17-Su:346139","HD-17-Su"
"HD-17-Su:346140","HD-17-Su"
"HD-17-Su:346142","HD-17-Su"
"HD-17-Su:346143","HD-17-Su"
"HD-17-Su:346144","HD-17-Su"
"HD-17-Su:346146","HD-17-Su"
"HD-17-Su:346147","HD-17-Su"
"HD-17-Su:346148","HD-17-Su"
"HD-17-Su:346149","HD-17-Su"
"HD-17-Su:346150","HD-17-Su"
"HD-17-Su:346151","HD-17-Su"
"HD-17-Su:346152","HD-17-Su"
"HD-17-Su:346153","HD-17-Su"
"HD-17-Su:346154","HD-17-Su"
"HD-17-Su:346155","HD-17-Su"
"HD-17-Su:346156","HD-17-Su"
"HD-17-Su:346157","HD-17-Su"
"HD-17-Su:346158","HD-17-Su"
"HD-17-Su:346159","HD-17-Su"
"HD-17-Su:346160","HD-17-Su"
"HD-17-Su:346161","HD-17-Su"
"HD-17-Su:346162","HD-17-Su"
"HD-17-Su:346163","HD-17-Su"
"HD-17-Su:346164","HD-17-Su"
"HD-17-Su:346165","HD-17-Su"
"HD-17-Su:346166","HD-17-Su"
"HD-17-Su:346168","HD-17-Su"
"HD-17-Su:346169","HD-17-Su"
"HD-17-Su:346170","HD-17-Su"
"HD-17-Su:346171","HD-17-Su"
"HD-17-Su:346172","HD-17-Su"
"HD-17-Su:346173","HD-17-Su"
"HD-17-Su:346174","HD-17-Su"
"HD-17-Su:346175","HD-17-Su"
"HD-17-Su:346176","HD-17-Su"
"HD-17-Su:346177","HD-17-Su"
"HD-17-Su:346178","HD-17-Su"
"HD-17-Su:346179","HD-17-Su"
"HD-17-Su:346180","HD-17-Su"
"HD-17-Su:346181","HD-17-Su"
"HD-17-Su:346182","HD-17-Su"
"HD-17-Su:346183","HD-17-Su"
"HD-17-Su:346185","HD-17-Su"
"HD-17-Su:346186","HD-17-Su"
"HD-17-Su:346187","HD-17-Su"
"HD-17-Su:346188","HD-17-Su"
"HD-17-Su:346189","HD-17-Su"
"HD-17-Su:346190","HD-17-Su"
"HD-17-Su:346191","HD-17-Su"
"HD-17-Su:346192","HD-17-Su"
"HD-17-Su:346193","HD-17-Su"
"HD-17-Su:346194","HD-17-Su"
"HD-17-Su:346195","HD-17-Su"
"HD-17-Su:346196","HD-17-Su"
"HD-17-Su:346198","HD-17-Su"
"HD-17-Su:346199","HD-17-Su"
"HD-17-Su:346200","HD-17-Su"
"HD-17-Su:346201","HD-17-Su"
"HD-17-Su:346202","HD-17-Su"
"HD-17-Su:346203","HD-17-Su"
"HD-17-Su:346204","HD-17-Su"
"HD-17-Su:346206","HD-17-Su"
"HD-17-Su:346207","HD-17-Su"
"HD-17-Su:346208","HD-17-Su"
"HD-17-Su:346209","HD-17-Su"
"HD-17-Su:346210","HD-17-Su"
"HD-17-Su:346211","HD-17-Su"
"HD-17-Su:346212","HD-17-Su"
"HD-17-Su:346214","HD-17-Su"
"HD-17-Su:346215","HD-17-Su"
"HD-17-Su:346216","HD-17-Su"
"HD-17-Su:346217","HD-17-Su"
"HD-17-Su:346218","HD-17-Su"
"HD-17-Su:346219","HD-17-Su"
"HD-17-Su:346220","HD-17-Su"
"HD-17-Su:346221","HD-17-Su"
"HD-17-Su:346222","HD-17-Su"
"HD-17-Su:346223","HD-17-Su"
"HD-17-Su:346224","HD-17-Su"
"HD-17-Su:346225","HD-17-Su"
"HD-17-Su:346226","HD-17-Su"
"HD-17-Su:346227","HD-17-Su"
"HD-17-Su:346228","HD-17-Su"
"HD-17-Su:346229","HD-17-Su"
"HD-17-Su:346230","HD-17-Su"
"HD-17-Su:346231","HD-17-Su"
"HD-17-Su:346232","HD-17-Su"
"HD-17-Su:346233","HD-17-Su"
"HD-17-Su:346234","HD-17-Su"
"HD-17-Su:346235","HD-17-Su"
"HD-17-Su:346237","HD-17-Su"
"HD-17-Su:346239","HD-17-Su"
"HD-17-Su:346240","HD-17-Su"
"HD-17-Su:346241","HD-17-Su"
"HD-17-Su:346243","HD-17-Su"
"HD-17-Su:346244","HD-17-Su"
"HD-17-Su:346245","HD-17-Su"
"HD-17-Su:346246","HD-17-Su"
"HD-17-Su:346247","HD-17-Su"
"HD-17-Su:346248","HD-17-Su"
"HD-17-Su:346249","HD-17-Su"
"HD-17-Su:346250","HD-17-Su"
"HD-17-Su:346251","HD-17-Su"
"HD-17-Su:346252","HD-17-Su"
"HD-17-Su:346253","HD-17-Su"
