"barcode","sample","celltype","UMAP_1","UMAP_2"
"HD-19-Su:347912","HD-19-Su","2",-7.32914726014964,6.18248731089851
"HD-19-Su:347913","HD-19-Su","5",-5.93315068956248,2.03242594195625
"HD-19-Su:347914","HD-19-Su","4",-3.75016347642771,-5.26739138172844
"HD-19-Su:347915","HD-19-Su","5",-6.13691941972605,2.85141998721382
"HD-19-Su:347916","HD-19-Su","2",-6.01728622194163,5.39375478221199
"HD-19-Su:347917","HD-19-Su","4",-3.30878273721568,-5.36997145222405
"HD-19-Su:347918","HD-19-Su","5",-5.83542672868601,1.96096891356727
"HD-19-Su:347919","HD-19-Su","2",-6.06661407228343,6.94082910014412
"HD-19-Su:347920","HD-19-Su","4",-4.3105005430781,-3.13039463566521
"HD-19-Su:347921","HD-19-Su","2",-6.70679084535471,6.19713765574714
"HD-19-Su:347922","HD-19-Su","9",9.52677353147634,-4.09812563465813
"HD-19-Su:347923","HD-19-Su","4",-5.13883249040476,-5.00152653263787
"HD-19-Su:347924","HD-19-Su","4",-5.38755170579783,-6.16352575825432
"HD-19-Su:347925","HD-19-Su","2",-7.12637130494944,5.31542903376838
"HD-19-Su:347926","HD-19-Su","4",-5.8009323286616,-4.8455955366967
"HD-19-Su:347927","HD-19-Su","3",-3.56375972505442,-6.73898190067986
"HD-19-Su:347928","HD-19-Su","2",-5.95113603349558,6.94051629496833
"HD-19-Su:347929","HD-19-Su","2",-6.53597442384593,6.5995195527198
"HD-19-Su:347930","HD-19-Su","2",-6.6123861479365,6.48953706218025
"HD-19-Su:347931","HD-19-Su","5",-5.79697744127146,2.90502196742317
"HD-19-Su:347932","HD-19-Su","4",-4.59590188737742,-4.92895763920525
"HD-19-Su:347933","HD-19-Su","3",-5.21983663316599,-8.22700470494011
"HD-19-Su:347934","HD-19-Su","3",-4.67970220323435,-8.10063713597039
"HD-19-Su:347935","HD-19-Su","5",-5.0119074987971,2.89609033061287
"HD-19-Su:347936","HD-19-Su","2",-7.38425151582591,5.85645848704597
"HD-19-Su:347937","HD-19-Su","4",-5.97153226610056,-5.55422657536248
"HD-19-Su:347938","HD-19-Su","2",-4.72826616044871,6.56257039500496
"HD-19-Su:347939","HD-19-Su","4",-5.85985938783518,-5.53910034702996
"HD-19-Su:347940","HD-19-Su","2",-6.43966285463206,6.96315604640266
"HD-19-Su:347941","HD-19-Su","4",-4.61430064912669,-3.71624249027947
"HD-19-Su:347942","HD-19-Su","4",-4.96444026704661,-4.54894608067253
"HD-19-Su:347943","HD-19-Su","14",-3.13954202409617,2.44485098315498
"HD-19-Su:347944","HD-19-Su","2",-6.18447105165354,6.49043017817756
"HD-19-Su:347945","HD-19-Su","9",9.582569201032,-3.58820599125603
"HD-19-Su:347946","HD-19-Su","2",-6.63738624330393,6.23195010615608
"HD-19-Su:347947","HD-19-Su","2",-6.05936233278147,7.01039487315437
"HD-19-Su:347948","HD-19-Su","2",-5.51184837098948,6.4168122429969
"HD-19-Su:347949","HD-19-Su","2",-6.69418231721751,5.34902316523811
"HD-19-Su:347950","HD-19-Su","4",-3.92483894105784,-3.08418243931511
"HD-19-Su:347951","HD-19-Su","5",-6.23833457704417,1.62490266753456
"HD-19-Su:347952","HD-19-Su","4",-5.2544063734614,-5.30832975910881
"HD-19-Su:347953","HD-19-Su","5",-6.56661311860911,2.47808557940742
"HD-19-Su:347954","HD-19-Su","2",-7.86988822694651,6.09104567958137
"HD-19-Su:347955","HD-19-Su","10",-1.84039441820017,-6.91014402912834
"HD-19-Su:347956","HD-19-Su","2",-6.1141795324885,6.9596679825904
"HD-19-Su:347957","HD-19-Su","2",-5.60771886583201,6.39779120875618
"HD-19-Su:347958","HD-19-Su","3",-2.93937818284861,-7.2485405783532
"HD-19-Su:347959","HD-19-Su","4",-5.76671449418894,-5.28479784535149
